EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132731) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SD, Q_SD
  4970,132731,19620728,    0,    0
  4970,132731,19620729,    0,    0
  4970,132731,19620730,    0,    0
  4970,132731,19620731,    0,    0
  4970,132731,19620801,    0,    0
  4970,132731,19620802,    0,    0
  4970,132731,19620803,    0,    0
  4970,132731,19620804,    0,    0
  4970,132731,19620805,    0,    0
  4970,132731,19620806,    0,    0
  4970,132731,19620807,    0,    0
  4970,132731,19620808,    0,    0
  4970,132731,19620809,    0,    0
  4970,132731,19620810,    0,    0
  4970,132731,19620811,    0,    0
  4970,132731,19620812,    0,    0
  4970,132731,19620813,    0,    0
  4970,132731,19620814,    0,    0
  4970,132731,19620815,    0,    0
  4970,132731,19620816,    0,    0
  4970,132731,19620817,    0,    0
  4970,132731,19620818,    0,    0
  4970,132731,19620819,    0,    0
  4970,132731,19620820,    0,    0
  4970,132731,19620821,    0,    0
  4970,132731,19620822,    0,    0
  4970,132731,19620823,    0,    0
  4970,132731,19620824,    0,    0
  4970,132731,19620825,    0,    0
  4970,132731,19620826,    0,    0
  4970,132731,19620827,    0,    0
  4970,132731,19620828,    0,    0
  4970,132731,19620829,    0,    0
  4970,132731,19620830,    0,    0
  4970,132731,19620831,    0,    0
  4970,132731,19620901,    0,    0
  4970,132731,19620902,    0,    0
  4970,132731,19620903,    0,    0
  4970,132731,19620904,    0,    0
  4970,132731,19620905,    0,    0
  4970,132731,19620906,    0,    0
  4970,132731,19620907,    0,    0
  4970,132731,19620908,    0,    0
  4970,132731,19620909,    0,    0
  4970,132731,19620910,    0,    0
  4970,132731,19620911,    0,    0
  4970,132731,19620912,    0,    0
  4970,132731,19620913,    0,    0
  4970,132731,19620914,    0,    0
  4970,132731,19620915,    0,    0
  4970,132731,19620916,    0,    0
  4970,132731,19620917,    0,    0
  4970,132731,19620918,    0,    0
  4970,132731,19620919,    0,    0
  4970,132731,19620920,    0,    0
  4970,132731,19620921,    0,    0
  4970,132731,19620922,    0,    0
  4970,132731,19620923,    0,    0
  4970,132731,19620924,    0,    0
  4970,132731,19620925,    0,    0
  4970,132731,19620926,    0,    0
  4970,132731,19620927,    0,    0
  4970,132731,19620928,    0,    0
  4970,132731,19620929,    0,    0
  4970,132731,19620930,    0,    0
  4970,132731,19621001,    0,    0
  4970,132731,19621002,    0,    0
  4970,132731,19621003,    0,    0
  4970,132731,19621004,    0,    0
  4970,132731,19621005,    0,    0
  4970,132731,19621006,    0,    0
  4970,132731,19621007,    0,    0
  4970,132731,19621008,    0,    0
  4970,132731,19621009,    0,    0
  4970,132731,19621010,    0,    0
  4970,132731,19621011,    0,    0
  4970,132731,19621012,    0,    0
  4970,132731,19621013,    0,    0
  4970,132731,19621014,    0,    0
  4970,132731,19621015,    0,    0
  4970,132731,19621016,    0,    0
  4970,132731,19621017,    0,    0
  4970,132731,19621018,    0,    0
  4970,132731,19621019,    0,    0
  4970,132731,19621020,    0,    0
  4970,132731,19621021,    0,    0
  4970,132731,19621022,    0,    0
  4970,132731,19621023,    0,    0
  4970,132731,19621024,    0,    0
  4970,132731,19621025,    0,    0
  4970,132731,19621026,    0,    0
  4970,132731,19621027,    0,    0
  4970,132731,19621028,    0,    0
  4970,132731,19621029,    0,    0
  4970,132731,19621030,    0,    0
  4970,132731,19621031,    0,    0
  4970,132731,19621101,    0,    0
  4970,132731,19621102,    0,    0
  4970,132731,19621103,    0,    0
