EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19620110,    7,    0
  4970,132727,19620111,    8,    0
  4970,132727,19620112,    8,    0
  4970,132727,19620113,    6,    0
  4970,132727,19620114,    8,    0
  4970,132727,19620115,    7,    0
  4970,132727,19620116,    8,    0
  4970,132727,19620117,    8,    0
  4970,132727,19620118,    8,    0
  4970,132727,19620119,    8,    0
  4970,132727,19620120,    8,    0
  4970,132727,19620121,    8,    0
  4970,132727,19620122,    6,    0
  4970,132727,19620123,    8,    0
  4970,132727,19620124,    8,    0
  4970,132727,19620125,    8,    0
  4970,132727,19620126,    8,    0
  4970,132727,19620127,    8,    0
  4970,132727,19620128,    8,    0
  4970,132727,19620129,    2,    0
  4970,132727,19620130,    4,    0
  4970,132727,19620131,    2,    0
  4970,132727,19620201,    8,    0
  4970,132727,19620202,    6,    0
  4970,132727,19620203,    7,    0
  4970,132727,19620204,    8,    0
  4970,132727,19620205,    5,    0
  4970,132727,19620206,    8,    0
  4970,132727,19620207,    8,    0
  4970,132727,19620208,    8,    0
  4970,132727,19620209,    5,    0
  4970,132727,19620210,    0,    0
  4970,132727,19620211,    5,    0
  4970,132727,19620212,    8,    0
  4970,132727,19620213,    8,    0
  4970,132727,19620214,    8,    0
  4970,132727,19620215,    7,    0
  4970,132727,19620216,    8,    0
  4970,132727,19620217,    7,    0
  4970,132727,19620218,    8,    0
  4970,132727,19620219,    8,    0
  4970,132727,19620220,    8,    0
  4970,132727,19620221,    3,    0
  4970,132727,19620222,    6,    0
  4970,132727,19620223,    3,    0
  4970,132727,19620224,    6,    0
  4970,132727,19620225,    7,    0
  4970,132727,19620226,    7,    0
  4970,132727,19620227,    7,    0
  4970,132727,19620228,    7,    0
  4970,132727,19620301,    8,    0
  4970,132727,19620302,    7,    0
  4970,132727,19620303,    8,    0
  4970,132727,19620304,    8,    0
  4970,132727,19620305,    8,    0
  4970,132727,19620306,    6,    0
  4970,132727,19620307,    2,    0
  4970,132727,19620308,    7,    0
  4970,132727,19620309,    7,    0
  4970,132727,19620310,    7,    0
  4970,132727,19620311,    8,    0
  4970,132727,19620312,    7,    0
  4970,132727,19620313,    4,    0
  4970,132727,19620314,    6,    0
  4970,132727,19620315,    6,    0
  4970,132727,19620316,    3,    0
  4970,132727,19620317,    7,    0
  4970,132727,19620318,    6,    0
  4970,132727,19620319,    1,    0
  4970,132727,19620320,    0,    0
  4970,132727,19620321,    6,    0
  4970,132727,19620322,    1,    0
  4970,132727,19620323,    2,    0
  4970,132727,19620324,    1,    0
  4970,132727,19620325,    1,    0
  4970,132727,19620326,    7,    0
  4970,132727,19620327,    8,    0
  4970,132727,19620328,    7,    0
  4970,132727,19620329,    8,    0
  4970,132727,19620330,    8,    0
  4970,132727,19620331,    5,    0
  4970,132727,19620401,    5,    0
  4970,132727,19620402,    6,    0
  4970,132727,19620403,    8,    0
  4970,132727,19620404,    7,    0
  4970,132727,19620405,    8,    0
  4970,132727,19620406,    8,    0
  4970,132727,19620407,    8,    0
  4970,132727,19620408,    8,    0
  4970,132727,19620409,    8,    0
  4970,132727,19620410,    6,    0
  4970,132727,19620411,    6,    0
  4970,132727,19620412,    8,    0
  4970,132727,19620413,    6,    0
  4970,132727,19620414,    8,    0
  4970,132727,19620415,    8,    0
  4970,132727,19620416,    7,    0
  4970,132727,19620417,    8,    0
  4970,132727,19620418,    8,    0
  4970,132727,19620419,    5,    0
  4970,132727,19620420,    6,    0
  4970,132727,19620421,    7,    0
  4970,132727,19620422,    8,    0
  4970,132727,19620423,    4,    0
  4970,132727,19620424,    1,    0
  4970,132727,19620425,    2,    0
  4970,132727,19620426,    3,    0
  4970,132727,19620427,    8,    0
  4970,132727,19620428,    7,    0
  4970,132727,19620429,    4,    0
  4970,132727,19620430,    5,    0
  4970,132727,19620501,    4,    0
  4970,132727,19620502,    7,    0
  4970,132727,19620503,    4,    0
  4970,132727,19620504,    8,    0
  4970,132727,19620505,    7,    0
  4970,132727,19620506,    8,    0
  4970,132727,19620507,    6,    0
  4970,132727,19620508,    6,    0
  4970,132727,19620509,    6,    0
  4970,132727,19620510,    5,    0
  4970,132727,19620511,    7,    0
  4970,132727,19620512,    7,    0
  4970,132727,19620513,    4,    0
  4970,132727,19620514,    8,    0
  4970,132727,19620515,    8,    0
  4970,132727,19620516,    6,    0
  4970,132727,19620517,    6,    0
  4970,132727,19620518,    5,    0
  4970,132727,19620519,    4,    0
  4970,132727,19620520,    6,    0
  4970,132727,19620521,    8,    0
  4970,132727,19620522,    7,    0
  4970,132727,19620523,    7,    0
  4970,132727,19620524,    6,    0
  4970,132727,19620525,    6,    0
  4970,132727,19620526,    7,    0
  4970,132727,19620527,    5,    0
  4970,132727,19620528,    6,    0
  4970,132727,19620529,    5,    0
  4970,132727,19620530,    5,    0
  4970,132727,19620531,    5,    0
  4970,132727,19620601,    7,    0
  4970,132727,19620602,    4,    0
  4970,132727,19620603,    2,    0
  4970,132727,19620604,    1,    0
  4970,132727,19620605,    2,    0
  4970,132727,19620606,    4,    0
  4970,132727,19620607,    3,    0
  4970,132727,19620608,    2,    0
  4970,132727,19620609,    1,    0
  4970,132727,19620610,    3,    0
  4970,132727,19620611,    7,    0
  4970,132727,19620612,    5,    0
  4970,132727,19620613,    4,    0
  4970,132727,19620614,    4,    0
  4970,132727,19620615,    2,    0
  4970,132727,19620616,    4,    0
  4970,132727,19620617,    7,    0
  4970,132727,19620618,    6,    0
  4970,132727,19620619,    7,    0
  4970,132727,19620620,    6,    0
  4970,132727,19620621,    6,    0
  4970,132727,19620622,    2,    0
  4970,132727,19620623,    5,    0
  4970,132727,19620624,    1,    0
  4970,132727,19620625,    2,    0
  4970,132727,19620626,    2,    0
  4970,132727,19620627,    5,    0
  4970,132727,19620628,    5,    0
  4970,132727,19620629,    5,    0
  4970,132727,19620630,    7,    0
  4970,132727,19620701,    8,    0
  4970,132727,19620702,    8,    0
  4970,132727,19620703,    8,    0
  4970,132727,19620704,    8,    0
  4970,132727,19620705,    6,    0
  4970,132727,19620706,    7,    0
  4970,132727,19620707,    6,    0
  4970,132727,19620708,    1,    0
  4970,132727,19620709,    4,    0
  4970,132727,19620710,    6,    0
  4970,132727,19620711,    6,    0
  4970,132727,19620712,    7,    0
  4970,132727,19620713,    6,    0
  4970,132727,19620714,    6,    0
  4970,132727,19620715,    7,    0
  4970,132727,19620716,    8,    0
  4970,132727,19620717,    4,    0
  4970,132727,19620718,    4,    0
  4970,132727,19620719,    8,    0
  4970,132727,19620720,    7,    0
  4970,132727,19620721,    6,    0
  4970,132727,19620722,    5,    0
  4970,132727,19620723,    3,    0
  4970,132727,19620724,    2,    0
  4970,132727,19620725,    2,    0
  4970,132727,19620726,    4,    0
  4970,132727,19620727,    5,    0
  4970,132727,19620728,    5,    0
  4970,132727,19620729,    2,    0
  4970,132727,19620730,    5,    0
  4970,132727,19620731,    4,    0
  4970,132727,19620801,    4,    0
  4970,132727,19620802,    5,    0
  4970,132727,19620803,    6,    0
  4970,132727,19620804,    5,    0
  4970,132727,19620805,    7,    0
  4970,132727,19620806,    7,    0
  4970,132727,19620807,    5,    0
  4970,132727,19620808,    5,    0
  4970,132727,19620809,    3,    0
  4970,132727,19620810,    7,    0
  4970,132727,19620811,    4,    0
  4970,132727,19620812,    1,    0
  4970,132727,19620813,    2,    0
  4970,132727,19620814,    7,    0
  4970,132727,19620815,    5,    0
  4970,132727,19620816,    7,    0
  4970,132727,19620817,    8,    0
  4970,132727,19620818,    6,    0
  4970,132727,19620819,    1,    0
  4970,132727,19620820,    3,    0
  4970,132727,19620821,    5,    0
  4970,132727,19620822,    6,    0
  4970,132727,19620823,    5,    0
  4970,132727,19620824,    8,    0
  4970,132727,19620825,    4,    0
  4970,132727,19620826,    1,    0
  4970,132727,19620827,    3,    0
  4970,132727,19620828,    5,    0
  4970,132727,19620829,    6,    0
  4970,132727,19620830,    0,    0
  4970,132727,19620831,    1,    0
  4970,132727,19620901,    0,    0
  4970,132727,19620902,    2,    0
  4970,132727,19620903,    3,    0
  4970,132727,19620904,    5,    0
  4970,132727,19620905,    7,    0
